Субъект Российской Федерации;Год;Период;Код медициской организации, подразделения медицинской организации;Медицинская организация, подразделение медицинской организации;Обслуживаемое население;Количество прикрепленного населения, всего;Количество прикрепленного населения, дети;Количество пересечений потоков пациентов при проведении профилактического медицинского осмотра, первого этапа диспансеризации с иными потоками пациентов в поликлинике, единица (целевое значение - не более 3), критерий достигнут;Количество пересечений потоков пациентов при проведении профилактического медицинского осмотра, первого этапа диспансеризации с иными потоками пациентов в поликлинике, единица (целевое значение - не более 3), текущий показатель;Количество пересечений потоков пациентов при предоставлении платных медицинских услуг и медицинской помощи в рамках программы государственных гарантий бесплатного оказания гражданам медицинской помощи, единица (целевое значение - не более 1), критерий достигнут;Количество пересечений потоков пациентов при предоставлении платных медицинских услуг и медицинской помощи в рамках программы государственных гарантий бесплатного оказания гражданам медицинской помощи, единица (целевое значение - не более 1), текущий показатель;Количество посадочных мест в зоне (зонах) комфортных условий ожидания на 200 посещений плановой мощности поликлиники, единица (целевое значение - не менее 1), критерий достигнут;Количество посадочных мест в зоне (зонах) комфортных условий ожидания на 200 посещений плановой мощности поликлиники, единица (целевое значение - не менее 1), плановая мощность;Количество посадочных мест в зоне (зонах) комфортных условий ожидания на 200 посещений плановой мощности поликлиники, единица (целевое значение - не менее 1), текущий показатель;Время поиска в системе навигации поликлиники информации для принятия решения о дальнейшем направлении движения к пункту назначения в каждой точке ветвления маршрутов, критерий достигнут;Время поиска в системе навигации поликлиники информации для принятия решения о дальнейшем направлении движения к пункту назначения в каждой точке ветвления маршрутов, текуший показатель;Доля элементов системы информирования об организации медицинской деятельности поликлиники, отвечающих условиям уместности, актуальности, доступности информации, % (целевое значение - не менее 100), критерий достигнут;Доля элементов системы информирования об организации медицинской деятельности поликлиники, отвечающих условиям уместности, актуальности, доступности информации, % (целевое значение - не менее 100), текущий показатель;Доля времени приемов врача для оказания медицинской помощи в плановой форме в течение рабочей смены, отведенного для приема по предварительной записи, % (целевое значение - не менее 50), критерий достигнут;Доля времени приемов врача для оказания медицинской помощи в плановой форме в течение рабочей смены, отведенного для приема по предварительной записи, % (целевое значение - не менее 50), текущий показатель;Доля пациентов, принятых в соответствии со временем предварительной записи, от общего количества пациентов, принятых по предварительной записи, % (целевое значение -не менее 80), критерий достигнут;Доля пациентов, принятых в соответствии со временем предварительной записи, от общего количества пациентов, принятых по предварительной записи, % (целевое значение - не менее 80), текущий показатель;Доля записей на прием к врачу, совершенных гражданами без очного обращения в регистратуру медицинской организации, %  (целевое значение - не менее 50), критерий достигнут;Доля записей на прием к врачу, совершенных гражданами без очного обращения в регистратуру медицинской организации, %  (целевое значение - не менее 50), текущий показатель;Количество визитов пациента в поликлинику для прохождения профилактического медицинского осмотра или первого этапа диспансеризации определенных групп взрослого населения, единица (целевое значение - не более 3), критерий достигнут;Количество визитов пациента в поликлинику для прохождения профилактического медицинского осмотра или первого этапа диспансеризации определенных групп взрослого населения, единица (целевое значение - не более 3), текущий показатель;Плановая дата достижения первого уровня новой модели организации оказания медицинской помощи
Алтайский край;2023;Март;22-028/13;"КГБУЗ ""Благовещенская ЦРБ"" - детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-029/13;"КГБУЗ ""Бурлинская ЦРБ"" - детское поликлиническое отделение";Детское;;;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;
Алтайский край;2023;Март;22-030/13;"КГБУЗ ""Быстроистокская ЦРБ"" - детское поликлиническое отделение";Детское;1634;1634;Оценка не проведена;0;Не требуется;0;Оценка не проведена;30;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;30.06.2022
Алтайский край;2023;Март;22-031/13;"КГБУЗ ""Волчихинская ЦРБ"" - детское поликлиническое отделение";Детское;3676;3676;Оценка не проведена;0;Не требуется;0;Оценка не проведена;140;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;25.06.2022
Алтайский край;2023;Март;22-032/13;"КГБУЗ ""Егорьевская ЦРБ"" - детское поликлиническое отделение";Детское;2460;2460;Оценка не проведена;0;Не требуется;0;Оценка не проведена;50;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-033/13;"КГБУЗ ""Ельцовская ЦРБ"" - детское поликлиническое отделение";Детское;1183;1183;Оценка не проведена;0;Не требуется;0;Оценка не проведена;23;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-034/13;"КГБУЗ ""ЦРБ с. Завьялово"" - детское поликлиническое отделение";Детское;3171;3171;Оценка не проведена;0;Не требуется;0;Оценка не проведена;60;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-035/13;"КГБУЗ ""Залесовская ЦРБ"" - детское поликлиническое отделение";Детское;2606;2606;Оценка не проведена;0;Не требуется;0;Оценка не проведена;50;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-036/13;"КГБУЗ ""Зональная ЦРБ"" - детское поликлиническое отделение";Детское;3783;3783;Оценка не проведена;0;Не требуется;0;Оценка не проведена;70;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-037/13;"КГБУЗ ""Калманская ЦРБ"" - детское поликлиническое отделение";Детское;2654;2654;Оценка не проведена;0;Не требуется;0;Оценка не проведена;30;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-038/13;"КГБУЗ ""Ключевская ЦРБ им. Антоновича И.И."" - детское поликлиническое отделение";Детское;2819;2819;Оценка не проведена;0;Не требуется;0;Оценка не проведена;70;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-039/13;"КГБУЗ ""Косихинская ЦРБ"" - детское поликлиническое отделение";Детское;3061;3061;Оценка не проведена;0;Не требуется;0;Оценка не проведена;40;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-040/13;"КГБУЗ ""Красногорская ЦРБ"" - детское поликлиническое отделение";Детское;3185;3185;Оценка не проведена;0;Не требуется;0;Оценка не проведена;65;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-041/13;"КГБУЗ ""Краснощековская ЦРБ"" - детское поликлиническое отделение";Детское;2411;2411;Оценка не проведена;0;Не требуется;0;Оценка не проведена;19;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-042/13;"КГБУЗ ""Кулундинская ЦРБ"" - детское поликлиническое отделение";Детское;4140;4140;Оценка не проведена;0;Не требуется;0;Оценка не проведена;90;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-043/13;"КГБУЗ ""Крутихинская ЦРБ"" - детское поликлиническое отделение";Детское;2376;2376;Оценка не проведена;0;Не требуется;0;Оценка не проведена;10;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;01.08.2022
Алтайский край;2023;Март;22-044/13;"КГБУЗ ""Курьинская ЦРБ"" - детское поликлиническое отделение";Детское;1576;1576;Оценка не проведена;0;Не требуется;0;Оценка не проведена;50;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;29.09.2022
Алтайский край;2023;Март;22-045/13;"КГБУЗ ""Кытмановская ЦРБ"" - детское поликлиническое отделение";Детское;2625;2625;Оценка не проведена;0;Не требуется;0;Оценка не проведена;47;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;25.06.2022
Алтайский край;2023;Март;22-046/13;"КГБУЗ ""Центральная больница Локтевского района"" - детское поликлиническое отделение";Детское;3848;3848;Оценка не проведена;0;Не требуется;0;Оценка не проведена;120;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;01.07.2022
Алтайский край;2023;Март;22-047/13;"КГБУЗ ""Мамонтовская ЦРБ"" - детское поликлиническое отделение";Детское;4459;4459;Оценка не проведена;0;Не требуется;0;Оценка не проведена;60;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-048/13;"КГБУЗ ""Михайловская ЦРБ"" - детское поликлиническое отделение";Детское;3760;3760;Оценка не проведена;0;Не требуется;0;Оценка не проведена;35;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-049/13;"КГБУЗ ""ЦРБ Немецкого национального района"" - детское поликлиническое отделение";Детское;3653;3653;Оценка не проведена;0;Не требуется;0;Оценка не проведена;50;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;26.12.2023
Алтайский край;2023;Март;22-050/13;"КГБУЗ ""Новичихинская ЦРБ"" - детское поликлиническое отделение";Детское;1489;1489;Оценка не проведена;0;Не требуется;0;Оценка не проведена;25;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-051/13;"КГБУЗ ""Павловская ЦРБ"" - детское поликлиническое отделение";Детское;7763;7763;Оценка не проведена;0;Не требуется;0;Оценка не проведена;100;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;27.06.2022
Алтайский край;2023;Март;22-052/13;"КГБУЗ ""Панкрушихинская ЦРБ"" - детское поликлиническое отделение";Детское;2097;2097;Оценка не проведена;0;Не требуется;0;Оценка не проведена;25;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-053/13;"КГБУЗ ""Поспелихинская ЦРБ"" - детское поликлиническое отделение";Детское;5147;5147;Оценка не проведена;0;Не требуется;0;Оценка не проведена;25;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-054/13;"КГБУЗ ""Первомайская ЦРБ имени А.Ф. Воробьёва"" (с.Березовка, ул. Центральная, 69)";Детское;2449;2449;Оценка не проведена;0;Не требуется;0;Оценка не проведена;60;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;30.06.2022
Алтайский край;2023;Март;22-055/13;"КГБУЗ ""Первомайская ЦРБ имени А.Ф. Воробьёва"" ЗАТО ""Сибирский"" (ул. 40 лет РВСН, 1а)";Детское;2077;2077;Оценка не проведена;0;Не требуется;0;Оценка не проведена;75;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-056/13;"КГБУЗ ""Петропавловская ЦРБ"" - детское поликлиническое отделение";Детское;2457;2457;Оценка не проведена;0;Не требуется;0;Оценка не проведена;25;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-057/13;"КГБУЗ ""Ребрихинская ЦРБ"" - детское поликлиническое отделение";Детское;3930;3930;Оценка не проведена;0;Не требуется;0;Оценка не проведена;75;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-058/13;"КГБУЗ ""Романовская ЦРБ"" - детское поликлиническое отделение";Детское;1904;1904;Оценка не проведена;0;Не требуется;0;Оценка не проведена;30;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-059/13;"КГБУЗ ""Рубцовская ЦРБ"" - детское поликлиническое отделение";Детское;4378;4378;Оценка не проведена;0;Не требуется;0;Оценка не проведена;100;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;25.06.2022
Алтайский край;2023;Март;22-060/13;"КГБУЗ ""ЦРБ с. Родино"" - детское поликлиническое отделение";Детское;2815;2815;Оценка не проведена;0;Не требуется;0;Оценка не проведена;101;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-061/13;"КГБУЗ ""Советская ЦРБ"" - детское поликлиническое отделение";Детское;3445;3445;Оценка не проведена;0;Не требуется;0;Оценка не проведена;33;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-062/13;"КГБУЗ ""Смоленская ЦРБ"" - детское поликлиническое отделение";Детское;4744;4744;Оценка не проведена;0;Не требуется;0;Оценка не проведена;35;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;01.09.2022
Алтайский край;2023;Март;22-063/13;"КГБУЗ ""Солонешенская ЦРБ"" - детское поликлиническое отделение";Детское;1610;1610;Оценка не проведена;0;Не требуется;0;Оценка не проведена;40;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;
Алтайский край;2023;Март;22-064/13;"КГБУЗ ""Солтонская ЦРБ"" - детское поликлиническое отделение";Детское;1402;1402;Оценка не проведена;0;Не требуется;0;Оценка не проведена;30;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Оценка не проведена;0;Не требуется;0;01.06.2022
